name,orcid_x,category,department,profile_url,email,courses,institutional_roles,profile_id,scraped_at,orcid_y,orcid_status,orcid_name,orcid_works_count,orcid_recent_works,orcid_funding_count,gs_status
Alexandra Águeda Figueiredo Contrato,0000-0003-3354-0727,Professor Adjunto,,,,,,,,0000-0003-3354-0727,found,Alexandra Figueiredo,289.0,50.0,40.0,not_found
Ana Cláudia Pires,0000-0002-0803-5641,Professor Adjunto,,,,,,,,0000-0002-0803-5641,found,Ana Pinto,31.0,25.0,3.0,not_found
Ana Cristina Barata Pires Lopes Contrato,,Professor Adjunto,,,,,,,,,no_orcid,,,,,not_found
Ana Cristina Nata,0000-0002-7325-1754,Professor Adjunto,,,,,,,,0000-0002-7325-1754,found,Ana Nata,23.0,9.0,0.0,not_found
Ana Isabel Loureiro,0000-0002-9914-5861,Professor Adjunto,,,,,,,,0000-0002-9914-5861,found,Ana Virgolino,38.0,15.0,0.0,not_found
Ana Paula Gerardo Machado Contrato,0000-0002-0915-9881,Professor Adjunto,,,,,,,,0000-0002-0915-9881,found,Ana Machado,0.0,0.0,0.0,
Ana Rita Sousa Gaspar Vieira Contrato,0000-0003-2938-8216,Professor Adjunto,,,,,,,,0000-0003-2938-8216,found,Ana Rita Gaspar Vieira,118.0,50.0,0.0,
Anabela Mendes Moreira Contrato,0000-0003-2504-0642,Professor Adjunto,,,,,,,,0000-0003-2504-0642,found,António  Manso,53.0,23.0,6.0,
Arlindo Jos,,Professor Adjunto,,,,,,,,,no_orcid,,,,,
Bruno Miguel Santana Chaparro Contrato,,Professor Coordenador,,,,,,,,,no_orcid,,,,,
Carla Alexandra Carvalho Silva Contrato,0000-0002-6184-9054,Professor Adjunto,,,,,,,,0000-0002-6184-9054,found,Carla Silva,0.0,0.0,0.0,
Carla Maria Calado Rego Contrato,0000-0001-6423-1164,Professor Adjunto,,,,,,,,0000-0001-6423-1164,found,Carla Rego,19.0,3.0,0.0,
Carla Maria Freitas,0000-0001-5511-5188,Professor Adjunto,,,,,,,,0000-0001-5511-5188,found,Carla Maria Freitas Joaquim,3.0,3.0,0.0,
Carla Sofia,0000-0002-2163-9415,Professor Adjunto,,,,,,,,0000-0002-2163-9415,found,Carla Sofia Catarino Silva Mota,0.0,0.0,0.0,
Carlos Alberto Farinha Ferreira Contrato,0000-0003-3948-2206,Professor Adjunto,,,,,,,,0000-0003-3948-2206,found,Carlos Ferreira,41.0,11.0,23.0,
Carlos Alexandre Campos Coelho Contrato,0000-0002-4433-2002,Professor Adjunto,,,,,,,,0000-0002-4433-2002,found,Carlos Alexandre Campos Pais Coelho,34.0,10.0,5.0,
